item,energy,protein,total_lipid ,carbohydrate,fiber,sugar,Na,saturated_fatty_acids,trans_fatty_acids,cholesterol
onion_rings,281,4,11,41.4,2.8,4,503,2.4,77.66,0
eggs_benedict,283,13.83,21.59,8.63,0.6,1.14,492,11.215,0,256
apple_pie,272,2.4,13.6,34.4,1.6,14.4,128,5.6,0,0
baby_back_ribs,170,18.75,9.82,0,0,0,94,3.57,0,67
escargots,78,16.7,0.7,0,0,0,72,0.2,0,202
baklava                 ,413,5.62,27.23,38.58,2.1,13.14,354,12.569,0,47
oysters,59,9.8,1.9,6.7,0,0,103,0.7,0,63
falafel,509,8.24,41.16,29.01,4.8,4.52,499,5.548,0,0
pad thai ,154,8.14,7.47,14.37,1.2,4.08,385,1.309,0,45
paella,422,13.33,3.33,82.22,2.2,2.22,1482,0,0,7
filet_mignon,196,15.18,15.18,0,0,0,393,5.36,0,40
beef_carpaccio,235.3,16.9,16.9,2.6,0.3,1,0,7.7,0.1,70.2
beef_tartare,276,16.5g,22,2.9,0.7,0.9,0,7.5,0,170
fish_and_chips,214,7.59,9.66,24.83,1.4,1.38,455,1.72,0,21
pancakes,257,3.2,2.6,55.1,1.4,20.1,228,1,0,8
panna_cotta,220,3,10,30,1,29,75,8,0,10
foie_gras,462,11.4,43.84,4.67,0,0,697,14.45,0,150
beet_salad,93,1.32,5.29,11.01,2.2,8.81,97,0.44,0,0
beignets,401,5.3,19.8,50.3,2,13.4,265,7.2,0,26
french_fries,182,1.8,6.5,29,3.5,16.9,67,1.6,0,0
peking_duck,273,0,0,66.67,0,63.6,879,0,0,0
bibimbap,154,9.19,5.56,16.03,0.9,2.78,218,0,0,29
french_onion_soup,74,4.21,3.51,5.96,0.7,0,423,0.1,0,11
pho,148,5.47,3.52,24.22,0.8,3.12,875,0.78,0,8
bread_pudding,232,5.05,6.06,38.38,1,27.27,212,3.03,0,40
french_toast,175,7.02,3.51,28.07,0,5.26,281,0.88,0,88
pizza,250,9.17,9.17,32.5,1.7,2.5,333,3.33,0,12
breakfast_burrito,221,8.85,8.85,24.78,0.9,0.88,575,3.1,0,75
fried_calamari,249.2,12.6,10.5,25.9,0.9,0.1,0,0.9,0.2,134.4
pork_chop,230,24,14,0,0,0,74,4.3,0.1,78
bruschetta,83,0,6.67,3.33,3.3,3.33,667,0.67,0,0
fried_rice,170,5.45,4.17,28.21,1,3.85,381,0.8,0,6
poutine,288,11.25,18.75,20,1.2,1.25,462,6.25,0,44
caesar_salad,189,5.91,15.75,7.48,2,1.57,398,3.15,0,8
frozen_yogurt,138,4.6,0,28.74,0,21.84,86,0,0,0
prime_rib,355,16.15,31.66,0,0,0,53,13.22,0,72
cannoli,372,3.85,16.67,48.72,1.3,33.33,0,8.97,0,19
garlic_bread,319,8.51,12.77,40.43,2.1,0,447,4.26,0,0
pulled_pork_sandwich,239,10.33,7.07,31.52,1.6,9.78,587,2.17,0,24
ramen,327,12.73,2.73,63.64,3.6,5.45,1364,0.91,0,0
gnocchi,150,3.33,0,33.33,2.5,0,517,2,0,0
caprese_salad,148,3.52,11.97,8.45,0.7,7.04,338,3.17,0,11
ravioli,193,8.57,6.43,24.29,1.4,2.14,207,3.57,0,43
greek_salad,74,2.01,4.03,7.38,1.7,3.69,339,1.01,0,2
carrot_cake,424,2.35,25.88,47.06,1.2,35.29,412,8.24,0,47
ceviche,45,4,0.5,6,1,3,270,0,0,30
grilled_cheese_sandwich,345,10.71,19.05,30.95,1.2,3.57,857,8.33,0.6,36
red_velvet_cake,421,2.11,25.26,45.26,0,30.53,821,13.68,0,58
cheesecake  ,321,5.5,22.5,25.5,0.4,21.8,438,9.921,0,55
grilled_salmon,114,7.86,3.21,14.29,1.4,0,79,0.71,0,21
risotto,368,12.28,6.14,66.67,0,7.02,1193,1.75,0,9
cheese_plate,408,14.49,21.08,42.16,5.3,6.59,659,10.54,0.66,53
guacamole,200,3.33,16.67,10,6.7,0,267,3.33,0,0
samosa,153,11.76,7.06,9.41,2.4,2.35,553,2.35,0,41
chicken_curry,157,13.57,9.29,5,0,2.14,364,5.71,0,43
